Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
Non-Stop,2014,"Action, Mystery, Thriller",106 min,1 nomination.,56,7
Son of God,2014,"Biography, Drama, History",138 min,2 wins & 1 nomination.,37,5.6
The Lunchbox,2013,"Drama, Romance",104 min,Nominated for 1 BAFTA Film Award. Another 28 wins & 35 nominations.,76,7.8
Anchorman 2: The Legend Continues,2013,Comedy,119 min,1 win & 23 nominations.,61,6.3
Repentance,1984,"Comedy, Drama",153 min,Nominated for 1 Golden Globe. Another 11 wins & 1 nomination.,N/A,8.5
Stalingrad,2013,"Action, Drama, War",131 min,6 wins & 8 nominations.,49,5.6
Shaadi Ke Side Effects,2014,"Comedy, Romance",145 min,N/A,N/A,5.7
Ernest & Celestine,2012,"Animation, Comedy, Crime",80 min,Nominated for 1 Oscar. Another 14 wins & 11 nominations.,86,7.9
The Bag Man,2014,"Crime, Drama, Thriller",108 min,N/A,28,5.3
Two Lives,2012,"Drama, Thriller",97 min,7 wins & 7 nominations.,62,7.1
,,,,,,
Short Peace,2013,"Animation, Fantasy, Sci-Fi",68 min,2 nominations.,N/A,7
Particle Fever,2013,Documentary,99 min,4 wins & 3 nominations.,87,7.4
Mr. Peabody & Sherman,2014,"Animation, Adventure, Comedy",92 min,2 wins & 16 nominations.,59,6.9
300: Rise of an Empire,2014,"Action, Drama, Fantasy",102 min,1 win & 5 nominations.,48,6.3
The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",99 min,Won 4 Oscars. Another 117 wins & 208 nominations.,88,8.1
The Face of Love,2013,"Drama, Romance",92 min,1 nomination.,51,6.2
Bethlehem,2013,"Drama, Thriller",99 min,9 wins & 8 nominations.,68,7.2
Beyond Sight: The Derek Rabelo Story,2014,"Documentary, Adventure, Family",84 min,N/A,N/A,9
Grand Piano,2013,"Music, Mystery, Thriller",90 min,5 wins & 12 nominations.,61,5.9
Journey to the West,2013,"Action, Adventure, Comedy",110 min,1 win & 12 nominations.,68,6.8
War of the Worlds: Goliath,2012,"Animation, Action, Adventure",85 min,N/A,33,5.5
Special ID,2013,"Action, Crime, Drama",99 min,1 nomination.,47,5.5
The Only Real Game,2013,"Documentary, Sport",82 min,1 win.,69,8
Skinless,2013,Horror,80 min,N/A,N/A,5.5
Need for Speed,2014,"Action, Crime, Drama",132 min,1 win & 1 nomination.,39,6.5
,,,,,,
Bad Words,2013,"Comedy, Drama",89 min,2 wins & 4 nominations.,57,6.7
Veronica Mars,2004–2007,"Crime, Drama, Mystery",44 min,4 wins & 19 nominations.,N/A,8.4
Le Week-End,2013,"Comedy, Drama, Romance",93 min,2 wins & 10 nominations.,73,6.3
Enemy,2013,"Mystery, Thriller",91 min,15 wins & 25 nominations.,61,6.8
On My Way,2013,"Comedy, Drama",116 min,1 win & 5 nominations.,60,6.4
Better Living Through Chemistry,2014,"Comedy, Drama",91 min,N/A,40,6.3
The Art of the Steal,2013,"Comedy, Crime",90 min,5 nominations.,53,6.3
Big Men,2013,Documentary,99 min,1 win & 3 nominations.,90,7.3
The Retrieval,2013,"Drama, History, Western",92 min,9 wins & 3 nominations.,75,6.6
Shirin in Love,2014,"Comedy, Romance",104 min,N/A,29,5.2
Teenage,2013,"Documentary, History",78 min,4 nominations.,64,6.5
,,,,,,
The Word,2014,"Drama, Thriller",97 min,3 nominations.,N/A,5.2
The Right Kind of Wrong,2013,"Comedy, Romance",97 min,1 win & 1 nomination.,30,6.2
Infliction,2014,Horror,100 min,1 win.,N/A,5
The Missing Picture,2013,Documentary,92 min,Nominated for 1 Oscar. Another 8 wins & 13 nominations.,87,7.4
Divergent,2014,"Adventure, Mystery, Sci-Fi",139 min,7 wins & 10 nominations.,48,6.8
God's Not Dead,2014,Drama,113 min,N/A,16,5
Muppets Most Wanted,2014,"Adventure, Comedy, Crime",107 min,3 wins & 9 nominations.,61,6.5
50 to 1,2014,Drama,110 min,N/A,37,6.6
,,,,,,
Jodorowsky's Dune,2013,"Documentary, Biography, History",88 min,10 wins & 25 nominations.,79,8.1
Rob the Mob,2014,"Crime, Drama",104 min,N/A,63,6.3
Anita,2009,Drama,104 min,1 win & 6 nominations.,N/A,7.3
Just a Sigh,2013,"Drama, Romance",104 min,5 wins & 1 nomination.,58,6.5
Cheap Thrills,2013,"Comedy, Crime, Drama",88 min,8 wins & 7 nominations.,63,6.8
A Birder's Guide to Everything,2013,Comedy,86 min,2 wins & 1 nomination.,61,6.3
,,,,,,
It Felt Like Love,2013,Drama,82 min,2 wins & 11 nominations.,76,5.5
The French Minister,2013,Comedy,113 min,3 wins & 10 nominations.,65,6.4
Gang of Ghosts,2014,"Comedy, Drama",128 min,N/A,N/A,3.8
,,,,,,
McCanick,2013,"Crime, Drama, Mystery",96 min,N/A,28,4.8
Noah,2014,"Action, Adventure, Drama",138 min,Nominated for 1 Golden Globe. Another 16 nominations.,68,5.8
,,,,,,
Cesar Chavez,2014,Biography,102 min,5 wins & 2 nominations.,51,6.5
The Raid 2,2014,"Action, Crime, Thriller",150 min,2 wins & 9 nominations.,71,8
Finding Vivian Maier,2013,"Documentary, Biography, Mystery",83 min,Nominated for 1 Oscar. Another 11 wins & 19 nominations.,75,7.7
Mistaken for Strangers,2013,"Documentary, Comedy, Music",75 min,2 wins & 2 nominations.,72,7.3
Breathe In,2013,"Drama, Romance",98 min,3 nominations.,60,6.4
Veil of Tears,2014,"Documentary, Drama, News",90 min,N/A,N/A,9.2
Dishkiyaoon,2014,"Action, Thriller",119 min,N/A,N/A,5.2
"No God, No Master",2013,"Crime, Drama, History",94 min,1 win & 1 nomination.,48,5.9
Jews of Egypt,2013,Documentary,N/A,N/A,N/A,7.8
Hide Your Smiling Faces,2013,Drama,81 min,8 wins & 6 nominations.,69,6.1
Locker 13,2014,Thriller,90 min,N/A,22,4.7
Refuge,2012,Drama,84 min,N/A,34,5.8
Dom Hemingway,2013,"Comedy, Crime, Drama",93 min,N/A,55,6.2
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136 min,Nominated for 1 Oscar. Another 4 wins & 49 nominations.,70,7.8
Island of Lemurs: Madagascar,2014,"Documentary, Short, Adventure",39 min,2 nominations.,66,7.1
Under the Skin,2013,"Drama, Sci-Fi, Thriller",108 min,Nominated for 1 BAFTA Film Award. Another 23 wins & 93 nominations.,78,6.3
Frankie & Alice,2010,"Biography, Drama",101 min,Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.,47,6.5
,,,,,,
The Unknown Known,2013,"Documentary, Biography, History",103 min,2 wins & 7 nominations.,69,7
Main Tera Hero,2014,"Action, Comedy, Romance",128 min,1 win & 3 nominations.,N/A,5.3
The Galapagos Affair: Satan Came to Eden,2013,"Documentary, Biography, Crime",120 min,3 nominations.,67,6.8
Jinn,2014,Thriller,97 min,N/A,24,4.2
,,,,,,
Afflicted,2013,"Horror, Mystery, Thriller",85 min,5 wins & 6 nominations.,56,6.3
Watermark,2003,"Crime, Drama, Mystery",76 min,N/A,N/A,8.7
Ilo Ilo,2013,Drama,99 min,27 wins & 13 nominations.,85,7.3
,,,,,,
Alien Abduction,2014,"Horror, Sci-Fi, Thriller",85 min,N/A,47,4.8
The Players,2012,Comedy,109 min,N/A,43,5.3
On the Other Side of the Tracks,2012,"Action, Comedy, Crime",96 min,N/A,N/A,5.8
Flex Is Kings,2013,Documentary,80 min,N/A,54,5.7
Rio 2,2014,"Animation, Adventure, Comedy",101 min,1 win & 19 nominations.,49,6.4
Draft Day,2014,"Drama, Sport",110 min,1 nomination.,54,6.8
Oculus,2013,Horror,104 min,3 wins & 14 nominations.,61,6.5
The Railway Man,2013,"Biography, Drama, Romance",116 min,7 wins & 19 nominations.,59,7.1
Only Lovers Left Alive,2013,"Drama, Horror, Romance",123 min,9 wins & 37 nominations.,79,7.3
Joe,2014,"Short, Comedy, Drama",17 min,N/A,N/A,N/A
Dancing in Jaffa,2013,Documentary,90 min,2 wins & 1 nomination.,74,6.4
Redwood Highway,2013,Drama,90 min,N/A,N/A,6.4
Cuban Fury,2014,"Comedy, Romance, Sport",98 min,1 win.,52,6.2
Hateship Loveship,2013,"Drama, Romance",104 min,N/A,59,6.1
Hank and Asha,2013,"Comedy, Romance",73 min,10 wins & 4 nominations.,45,6.4
The Butterfly Room,2012,"Horror, Thriller",87 min,1 win & 1 nomination.,N/A,5.6
Heaven Is for Real,2014,Drama,99 min,2 nominations.,47,5.8
Transcendence,2014,"Drama, Mystery, Romance",119 min,2 wins & 5 nominations.,42,6.3
Bears,2014,Documentary,78 min,2 nominations.,68,7.4
A Haunted House 2,2014,"Comedy, Fantasy",86 min,N/A,17,4.7
Fading Gigolo,2013,Comedy,90 min,2 wins & 1 nomination.,58,6.2
2 States,2014,"Comedy, Drama, Romance",149 min,1 win & 20 nominations.,N/A,7.1
That Demon Within,2014,"Action, Crime",111 min,1 win & 7 nominations.,51,6
,,,,,,
Make Your Move,2013,"Drama, Musical, Romance",110 min,N/A,40,5.7
Manakamana,2013,Documentary,118 min,6 wins & 12 nominations.,86,6.7
Tasting Menu,2013,Comedy,85 min,1 nomination.,29,5.8
13 Sins,2014,"Horror, Thriller",93 min,2 nominations.,44,6.3
The Final Member,2012,"Documentary, Comedy, Drama",75 min,3 nominations.,67,6.6
Kid Cannabis,2014,"Biography, Comedy, Crime",110 min,1 nomination.,54,6.4
,,,,,,
"Half The Road: The Passion, Pitfalls & Power of Women's Professional Cycling",2014,"Documentary, News, Sport",112 min,N/A,N/A,8.8
Gringo Trails,2013,"Documentary, Adventure, Drama",79 min,N/A,N/A,7.8
Bicycling with Molière,2013,"Comedy, Drama",104 min,1 win & 4 nominations.,61,6.7
The Other Woman,2014,"Comedy, Romance",109 min,3 wins & 4 nominations.,39,6
Brick Mansions,2014,"Action, Crime, Drama",90 min,1 nomination.,40,5.7
The Quiet Ones,2014,Horror,98 min,6 nominations.,41,5.1
Locke,2013,Drama,85 min,7 wins & 31 nominations.,81,7.1
Walking with the Enemy,2013,"Action, Drama, History",124 min,1 win.,44,5.5
The German Doctor,2013,"Drama, History, Thriller",93 min,18 wins & 22 nominations.,62,6.8
Blue Ruin,2013,"Crime, Drama, Thriller",90 min,7 wins & 15 nominations.,77,7.1
For No Good Reason,2012,"Documentary, Biography, History",89 min,2 nominations.,56,7
Young and Beautiful,1934,"Comedy, Romance",68 min,N/A,N/A,7.4
Next Goal Wins,2014,"Documentary, Sport",97 min,2 wins & 2 nominations.,71,7.9
Beneath the Harvest Sky,2013,Drama,116 min,2 wins.,62,6.2
,,,,,,
Bright Days Ahead,2013,"Drama, Romance",94 min,2 nominations.,57,6.2
Who is Dayani Cristal?,2013,Documentary,85 min,3 wins & 4 nominations.,55,6.9
Last Passenger,2013,"Action, Mystery, Thriller",97 min,3 nominations.,66,5.7
The Amazing Spider-Man 2,2014,"Action, Adventure, Fantasy",142 min,3 wins & 28 nominations.,53,6.8
Belle,2013,"Drama, Romance",104 min,12 wins & 26 nominations.,64,7.4
Ida,2013,Drama,82 min,Won 1 Oscar. Another 64 wins & 80 nominations.,91,7.4
Water & Power,2013,"Crime, Drama",88 min,N/A,N/A,6.4
Walk of Shame,2014,Comedy,95 min,N/A,25,6
NOW: In the Wings on a World Stage,2014,Documentary,97 min,N/A,55,7.2
Decoding Annie Parker,2013,Drama,91 min,4 wins & 7 nominations.,56,6.3
For a Woman,2013,Drama,110 min,1 win & 1 nomination.,59,6.5
Documented,2013,"Documentary, Biography, Family",89 min,2 wins & 2 nominations.,61,6.6
,,,,,,
More Than the Rainbow,2012,Documentary,82 min,N/A,67,7.8
Sol LeWitt,2012,"Documentary, Biography",87 min,N/A,83,5.3
Neighbors,2014,Comedy,97 min,6 wins & 11 nominations.,68,6.4
Chef,2014,"Comedy, Drama",114 min,2 wins & 2 nominations.,68,7.3
Moms' Night Out,2014,Comedy,98 min,N/A,25,5.4
Legends of Oz: Dorothy's Return,2013,"Animation, Family, Fantasy",88 min,1 win & 5 nominations.,25,5.7
Fed Up,2014,Documentary,92 min,1 nomination.,71,7.7
Palo Alto,2013,Drama,100 min,4 nominations.,69,6.3
The Hornet's Nest,2014,"Documentary, Action, History",93 min,N/A,61,6.5
The Double,2014,"Short, Comedy, Mystery",4 min,N/A,N/A,N/A
God's Pocket,2014,"Crime, Drama",88 min,1 nomination.,51,6.1
Queen Margot,1994,"Biography, Drama, History",159 min,Nominated for 1 Oscar. Another 9 wins & 12 nominations.,N/A,7.5
In the House of Flies,2012,Thriller,89 min,5 wins.,N/A,5.7
,,,,,,
Horses of God,2012,Drama,115 min,6 wins & 2 nominations.,76,7.3
,,,,,,
Million Dollar Arm,2014,"Biography, Drama, Sport",124 min,1 win & 2 nominations.,56,7.1
The Immigrant,2013,"Drama, Romance",120 min,15 wins & 30 nominations.,77,6.6
Chinese Puzzle,2013,"Comedy, Drama, Romance",117 min,2 nominations.,64,7
Half of a Yellow Sun,2013,"Drama, Romance",111 min,3 nominations.,51,6.2
The Discoverers,2012,Comedy,104 min,8 wins.,62,5.6
Ai Weiwei: The Fake Case,2013,"Documentary, Drama",86 min,2 wins & 1 nomination.,73,6.5
A Long Way Off,2014,"Drama, Family, Romance",105 min,1 win.,N/A,4.6
The Pleasures of Being Out of Step,2013,"Documentary, Biography, History",87 min,1 win.,68,7.8
,,,,,,
A People Uncounted,2011,"Documentary, History, Music",99 min,2 wins & 11 nominations.,72,8
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",132 min,Nominated for 1 Oscar. Another 12 wins & 41 nominations.,74,8
Blended,2014,"Comedy, Romance",117 min,11 nominations.,31,6.5
Words and Pictures,2013,"Comedy, Drama, Romance",111 min,1 nomination.,49,6.6
Kochadaiiyaan,2014,"Animation, Action, Adventure",124 min,1 nomination.,N/A,6.7
Cold in July,2014,"Crime, Thriller",109 min,1 win & 7 nominations.,73,6.8
The Dance of Reality,2013,"Biography, Drama, Fantasy",133 min,2 wins & 6 nominations.,76,7.5
The Love Punch,2013,Comedy,94 min,1 nomination.,44,5.7
,,,,,,
Heropanti,2014,"Action, Romance",146 min,4 wins & 11 nominations.,N/A,5.5
Return to the Hiding Place,2013,"Drama, History, Thriller",102 min,7 wins.,N/A,4.8
Stand Clear of the Closing Doors,2013,Drama,102 min,4 wins & 3 nominations.,86,6.6
Accident,2009,Thriller,89 min,1 win & 8 nominations.,N/A,6.7
Le grand départ,2008,"Comedy, Drama",N/A,2 nominations.,N/A,5.8
Under the Electric Sky,2014,"Documentary, Music",85 min,1 nomination.,42,6.4
Maleficent,2014,"Action, Adventure, Family",97 min,Nominated for 1 Oscar. Another 9 wins & 36 nominations.,56,7
A Million Ways to Die in the West,2014,"Comedy, Western",116 min,6 nominations.,44,6.1
The Grand Seduction,2013,Comedy,113 min,2 wins & 8 nominations.,57,7
Night Moves,2013,"Drama, Thriller",112 min,2 wins & 2 nominations.,75,6
We Are the Best!,2013,"Drama, Music",102 min,13 wins & 18 nominations.,87,7.2
Korengal,2014,"Documentary, History, News",84 min,1 win.,67,6.8
Lucky Them,2013,Drama,97 min,2 nominations.,65,6.1
Filth,2013,"Comedy, Crime, Drama",97 min,9 wins & 12 nominations.,56,7.1
Elena,2011,Drama,109 min,17 wins & 13 nominations.,87,7.3
Before You Know It,2013,"Documentary, Biography, Drama",110 min,4 wins & 2 nominations.,68,6.2
,,,,,,
The Fault in Our Stars,2014,"Drama, Romance",126 min,19 wins & 11 nominations.,69,7.9
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",113 min,11 wins & 34 nominations.,71,7.9
Obvious Child,2014,"Comedy, Drama",84 min,8 wins & 28 nominations.,76,6.8
Holiday,2014,"Action, Drama, Mystery",170 min,1 win & 6 nominations.,N/A,7.5
Supermensch: The Legend of Shep Gordon,2013,"Documentary, Biography, Music",85 min,3 wins & 5 nominations.,64,7.3
Citizen Koch,2013,"Documentary, Drama",90 min,1 win & 2 nominations.,52,6.5
Borgman,2013,"Drama, Thriller",113 min,10 wins & 19 nominations.,66,6.8
Ping Pong Summer,2014,"Comedy, Family",92 min,2 wins & 1 nomination.,52,5.4
Filmistaan,2012,Comedy,117 min,5 wins & 5 nominations.,N/A,7.3
Test,2013,Drama,89 min,3 wins & 2 nominations.,70,6.5
Tosca's Kiss,1984,"Documentary, Music",87 min,2 wins & 1 nomination.,N/A,8
The Sacrament,2013,"Horror, Thriller",99 min,1 win & 10 nominations.,49,6.1
Rigor Mortis,2013,"Action, Drama, Horror",103 min,6 wins & 22 nominations.,53,6.3
"2 Autumns, 3 Winters",2013,Comedy,91 min,2 wins & 2 nominations.,75,6.6
Anna,2013,"Drama, Mystery, Thriller",99 min,3 nominations.,42,6.5
Burning Bush,2013,"Biography, Drama",231 min,13 wins & 6 nominations.,83,8
22 Jump Street,2014,"Action, Comedy, Crime",112 min,7 wins & 22 nominations.,71,7.1
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",102 min,Nominated for 1 Oscar. Another 13 wins & 58 nominations.,76,7.9
The Rover,2014,"Crime, Drama",103 min,3 wins & 19 nominations.,64,6.4
The Signal,2014,"Sci-Fi, Thriller",97 min,1 win & 3 nominations.,54,6.1
A Coffee in Berlin,2012,Drama,86 min,25 wins & 21 nominations.,63,7.4
Ivory Tower,2014,"Documentary, Family, History",90 min,2 nominations.,65,7
No Tears for the Dead,2014,"Action, Drama",116 min,N/A,N/A,6.8
Hellion,2014,"Drama, Thriller",99 min,3 wins & 5 nominations.,55,6.1
The Amazing Catfish,2013,"Comedy, Drama",89 min,9 wins & 11 nominations.,69,7
Policeman,2011,Drama,105 min,10 wins & 15 nominations.,79,6.3
Evergreen: The Road to Legalization,2013,Documentary,86 min,1 win & 1 nomination.,67,7.3
Think Like a Man Too,2014,"Comedy, Romance",106 min,2 wins & 4 nominations.,38,5.7
Jersey Boys,2014,"Biography, Drama, Music",134 min,3 wins & 2 nominations.,54,6.9
Third Person,2013,"Drama, Romance",137 min,1 win.,38,6.4
Venus in Fur,2013,Drama,96 min,6 wins & 18 nominations.,69,7.2
Le Chef,2012,Comedy,84 min,N/A,43,6.6
A Summer's Tale,1996,"Comedy, Drama, Romance",113 min,1 nomination.,91,7.7
Code Black,2015–,Drama,42 min,1 nomination.,N/A,7.7
Coherence,2013,"Sci-Fi, Thriller",89 min,5 wins & 4 nominations.,65,7.1
The Last Sentence,2012,"Biography, Drama",126 min,3 wins & 6 nominations.,60,6.1
The Past is a Grotesque Animal,2014,"Documentary, Biography, Music",77 min,N/A,N/A,7.8
A Picture of You,2013,N/A,83 min,1 win & 2 nominations.,73,6.7
Exhibition,2013,Drama,104 min,1 nomination.,72,5.6
"Norte, the End of History",2013,Drama,250 min,9 wins & 16 nominations.,81,7.5
Penton: The John Penton Story,2014,"Documentary, Adventure, Biography",135 min,N/A,N/A,N/A
Yves Saint Laurent,2014,"Biography, Drama",106 min,2 wins & 7 nominations.,51,6.2
Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi",165 min,5 wins & 21 nominations.,32,5.7
Begin Again,2013,"Drama, Music",104 min,Nominated for 1 Oscar. Another 2 wins & 15 nominations.,62,7.4
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136 min,Nominated for 1 Oscar. Another 4 wins & 49 nominations.,70,7.8
Snowpiercer,2013,"Action, Drama, Sci-Fi",126 min,19 wins & 93 nominations.,84,7
Ek Villain,2014,"Action, Crime, Drama",129 min,7 wins & 8 nominations.,N/A,6.4
The Breakup Guru,2014,Comedy,114 min,N/A,N/A,4.4
,,,,,,
Siddharth,2013,Drama,96 min,2 wins & 7 nominations.,72,7.3
The Internet's Own Boy: The Story of Aaron Swartz,2014,"Documentary, Biography, Crime",105 min,3 wins & 2 nominations.,72,8.1
Living Is Easy with Eyes Closed,2013,"Comedy, Drama",108 min,18 wins & 16 nominations.,N/A,7
Radio Free Albemuth,2010,"Drama, Sci-Fi",111 min,N/A,35,5.8
Archipelago,2010,Drama,114 min,6 nominations.,82,6.1
Nothing Bad Can Happen,2013,"Crime, Drama, Thriller",110 min,6 wins & 10 nominations.,51,7
Unrelated,2007,Drama,100 min,2 wins & 3 nominations.,74,6.5
Postman Pat: The Movie,2014,"Animation, Comedy, Family",88 min,1 nomination.,44,4.6
Jackpot,2011,"Action, Comedy, Crime",90 min,1 nomination.,43,6.6
Tammy,2014,Comedy,97 min,1 win & 6 nominations.,39,4.9
Earth to Echo,2014,"Adventure, Family, Sci-Fi",91 min,2 wins & 2 nominations.,53,5.8
Deliver Us from Evil,2014,"Horror, Mystery, Thriller",118 min,2 nominations.,40,6.2
Cinemanovels,2013,"Comedy, Drama, Romance",89 min,2 wins & 4 nominations.,59,5.2
Life Itself,2014,"Documentary, Biography",120 min,22 wins & 29 nominations.,87,7.9
A Hard Day's Night,1964,"Comedy, Musical",87 min,Nominated for 2 Oscars. Another 2 wins & 5 nominations.,96,7.7
Lekar Hum Deewana Dil,2014,"Comedy, Romance",N/A,N/A,N/A,4.9
Marius,1931,"Comedy, Drama, Romance",130 min,N/A,N/A,7.8
The Girl on the Train,2013,Thriller,80 min,1 win.,N/A,4.5
Closed Curtain,2013,Drama,106 min,2 wins & 7 nominations.,81,6.7
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130 min,Nominated for 1 Oscar. Another 14 wins & 44 nominations.,79,7.6
Boyhood,2014,Drama,165 min,Won 1 Oscar. Another 167 wins & 199 nominations.,100,8
Land Ho!,2014,"Adventure, Comedy",95 min,2 wins & 1 nomination.,68,6
Humpty Sharma Ki Dulhania,2014,"Comedy, Drama, Romance",133 min,2 wins & 3 nominations.,N/A,6
A Long Way Down,2014,"Comedy, Drama",96 min,N/A,34,6.4
The Empty Hours,2013,"Drama, Romance",101 min,1 win & 2 nominations.,81,6.3
The Purge: Anarchy,2014,"Action, Horror, Thriller",103 min,1 win & 4 nominations.,50,6.5
Planes: Fire & Rescue,2014,"Animation, Adventure, Comedy",83 min,6 nominations.,48,6
Sex Tape,2014,Comedy,94 min,2 wins & 3 nominations.,36,5.1
Wish I Was Here,2014,"Comedy, Drama",106 min,3 nominations.,43,6.7
Persecuted,2014,"Action, Drama, Mystery",91 min,N/A,11,3.6
I Origins,2014,"Drama, Romance, Sci-Fi",106 min,2 wins & 3 nominations.,57,7.3
A Five Star Life,2013,Drama,85 min,3 wins & 10 nominations.,51,6.3
Mood Indigo,2013,"Comedy, Drama, Fantasy",94 min,1 win & 9 nominations.,54,6.5
Alive Inside,2014,"Documentary, News",78 min,7 wins & 5 nominations.,67,8.2
"Flamenco, Flamenco",2010,"Documentary, Music",97 min,N/A,82,7.3
There's No Place Like Utopia,2014,Documentary,110 min,N/A,N/A,5.4
K: Missing Kings,2014,"Animation, Action, Fantasy",73 min,N/A,N/A,7.3
Video Games: The Movie,2014,"Documentary, Animation, History",101 min,N/A,40,6.1
As It Is in Heaven,2004,"Comedy, Drama, Music",133 min,Nominated for 1 Oscar. Another 2 wins & 11 nominations.,N/A,7.6
A Letter to Momo,2011,"Animation, Drama, Family",120 min,3 wins & 7 nominations.,65,7.3
A Master Builder,2013,Drama,130 min,1 nomination.,67,6
The Endless Summer,1966,"Documentary, Sport",95 min,1 win.,N/A,7.8
Lucy,2014,"Action, Sci-Fi, Thriller",89 min,8 nominations.,61,6.4
,,,,,,
A Most Wanted Man,2014,"Crime, Drama, Thriller",122 min,2 wins & 5 nominations.,73,6.8
And So It Goes,2014,"Comedy, Drama, Romance",94 min,1 nomination.,38,5.7
Magic in the Moonlight,2014,"Comedy, Romance",97 min,1 win & 1 nomination.,54,6.6
The Fluffy Movie: Unity Through Laughter,2014,Comedy,101 min,N/A,56,7.2
Kick,2014,"Action, Comedy, Romance",146 min,5 wins & 12 nominations.,N/A,5.5
The Divine Move,2014,"Action, Crime, Drama",118 min,1 win & 3 nominations.,N/A,6.7
Happy Christmas,2014,"Comedy, Drama",82 min,2 nominations.,70,5.6
The Kill Team,2013,Documentary,79 min,6 wins & 3 nominations.,72,7.1
Fanny,1961,"Drama, Romance",134 min,Nominated for 5 Oscars. Another 1 win & 11 nominations.,N/A,7.1
Come Back to Me,2014,"Horror, Mystery, Thriller",90 min,N/A,31,5.8
Very Good Girls,2013,Drama,91 min,N/A,35,6
Manuscripts Don't Burn,2013,Drama,125 min,3 wins & 2 nominations.,88,7.2
Guardians of the Galaxy,2014,"Action, Adventure, Sci-Fi",121 min,Nominated for 2 Oscars. Another 46 wins & 87 nominations.,76,8.1
Get on Up,2014,"Biography, Drama, Music",139 min,6 wins & 15 nominations.,71,6.9
Calvary,2014,"Crime, Drama",102 min,9 wins & 27 nominations.,77,7.4
Finding Fela!,2014,"Documentary, Biography, History",119 min,1 nomination.,64,7
Rich Hill,2014,"Documentary, Biography, Drama",91 min,4 wins & 5 nominations.,75,7.3
Child of God,2013,"Crime, Drama, Thriller",104 min,1 win & 2 nominations.,50,5.5
The Strange Little Cat,2013,"Comedy, Drama, Family",72 min,4 wins & 6 nominations.,80,6.6
Moebius,2013,Drama,89 min,N/A,66,6.5
Dragon Ball Z: Battle of Gods,2013,"Animation, Action, Comedy",85 min,7 wins & 4 nominations.,N/A,7.3
,,,,,,
The Hundred-Foot Journey,2014,"Comedy, Drama",122 min,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,55,7.3
